Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Shannon,23,A,Mich,0,4,0,0,0,0,2,0,0
Taylor,2,D,Mich,0,0,0,2,0,0,0,0,0
Tess,3,M,Mich,1,3,0,3,2,0,0,0,0
Becca,15,M,UGA,0,0,0,2,1,0,3,0,0
Brooklyn,5,A,UGA,0,1,0,1,0,0,0,1,0
Devinne,11,D,UGA,0,0,0,0,1,0,0,0,0
Haley,9,A,UGA,0,0,1,2,1,0,1,0,0
Heather,12,M,UGA,1,2,1,2,3,1,3,0,0
Julia,27,D,UGA,0,0,0,1,0,0,0,0,0
Kallie,13,M,UGA,0,0,0,2,0,0,1,0,0
Katie,6,M,UGA,0,0,0,1,1,0,0,0,0
Kenedee,14,M,UGA,0,0,0,1,0,0,1,0,0
Kenna,25,A,UGA,0,0,0,0,1,0,1,1,0
Kim,19,D,UGA,0,0,0,0,0,0,0,0,0
Lauren,8,M,UGA,0,1,0,3,0,3,2,1,0
Logan,20,M,UGA,1,2,0,1,0,1,1,0,0
Maysen,22,M,UGA,0,0,0,0,0,0,2,0,0
Natalie,1,M,UGA,0,0,0,0,0,0,0,0,0
Rachel,26,A,UGA,0,0,0,0,0,0,0,0,0
Raegan,24,A,UGA,0,0,0,0,0,0,0,0,0
Roni,4,D,UGA,0,0,0,1,0,0,0,0,0
Sarah,10,A,UGA,0,0,0,0,0,0,0,0,0
Shannon,23,A,UGA,2,4,0,4,1,3,1,1,0
Taylor,2,D,UGA,0,0,0,2,0,0,1,0,0
Tess,3,M,UGA,6,6,0,5,4,0,2,0,1
Becca,15,M,CSU-R,1,1,0,0,0,0,0,0,0
Brooklyn,5,A,CSU-R,0,1,0,1,0,0,0,0,0
Devinne,11,D,CSU-R,0,0,0,0,0,0,0,0,0
Haley,9,A,CSU-R,0,0,0,1,0,1,0,0,0
Heather,12,M,CSU-R,4,7,3,4,1,4,4,0,0
Julia,27,D,CSU-R,0,0,0,0,0,0,0,0,0
Kallie,13,M,CSU-R,1,1,1,0,1,0,1,0,0
Katie,6,M,CSU-R,0,0,0,0,0,0,1,0,0
Kenedee,14,M,CSU-R,0,1,0,2,1,0,1,0,0
Kenna,25,A,CSU-R,0,1,0,0,0,0,0,0,0
Kim,19,D,CSU-R,0,0,0,0,1,0,0,1,0
Lauren,8,M,CSU-R,0,0,0,0,0,0,3,0,0
Logan,20,M,CSU-R,3,5,0,1,0,1,2,0,0
Maysen,22,M,CSU-R,0,0,0,0,0,0,0,0,0
Natalie,1,M,CSU-R,0,0,0,0,0,0,0,0,0
Rachel,26,A,CSU-R,0,0,0,0,0,0,0,0,0
Raegan,24,A,CSU-R,0,0,0,0,0,0,0,0,0
Roni,4,D,CSU-R,0,0,0,0,0,0,0,0,0
Sarah,10,A,CSU-R,0,0,0,0,0,0,0,0,0
Shannon,23,A,CSU-R,1,4,0,3,0,0,1,0,0
Taylor,2,D,CSU-R,0,0,0,2,1,0,2,0,0
Tess,3,M,CSU-R,3,5,0,8,1,5,1,0,0
Becca,15,M,CU-R,0,0,0,0,0,0,0,0,0
Brooklyn,5,A,CU-R,0,1,0,0,0,0,0,0,0
Devinne,11,D,CU-R,0,0,0,0,0,0,1,0,0
Haley,9,A,CU-R,0,0,0,3,0,0,2,0,0
Heather,12,M,CU-R,3,6,0,5,5,5,0,1,
Julia,27,D,CU-R,0,0,0,1,0,0,0,0,0
